periode_data;wilayah;tanggal;harga;komoditas
202404;Kota Adm. Jakarta Barat;30;16921;Minyak Goreng (Kuning/Curah)
202404;Kota Adm. Jakarta Barat;30;49172;Cabe Merah Keriting
202404;Kota Adm. Jakarta Barat;30;63997;Cabe Merah Besar (TW)
202404;Kota Adm. Jakarta Barat;30;47428;Cabe Rawit Merah
202404;Kota Adm. Jakarta Barat;30;45182;Cabe Rawit Hijau
202404;Kota Adm. Jakarta Barat;30;58466;Bawang Merah
202404;Kota Adm. Jakarta Barat;30;44374;Bawang Putih
202404;Kota Adm. Jakarta Barat;30;147068;Daging Sapi Has (Paha Belakang)
202404;Kota Adm. Jakarta Barat;30;140105;Daging Sapi Murni (Semur)
202404;Kota Adm. Jakarta Barat;30;40989;Ayam Broiler/Ras
202404;Kota Adm. Jakarta Barat;30;29615;Telur Ayam Ras
202404;Kota Adm. Jakarta Barat;30;17806;Gula Pasir
202404;Kota Adm. Jakarta Barat;30;12064;Tepung Terigu
202404;Kota Adm. Jakarta Barat;30;4286;Garam Dapur
202404;Kota Adm. Jakarta Barat;30;19684;Kentang (sedang)
202404;Kota Adm. Jakarta Barat;30;27107;Tomat Buah
202404;Kota Adm. Jakarta Barat;30;9375;Kelapa Kupas
202404;Kota Adm. Jakarta Barat;30;11550;Semangka
202404;Kota Adm. Jakarta Barat;30;25643;Jeruk Medan
202404;Kota Adm. Jakarta Barat;30;150000;Daging Kambing
202404;Kota Adm. Jakarta Barat;30;112780;Daging Babi Berlemak
202404;Kota Adm. Jakarta Barat;30;42311;Ikan Bandeng (sedang)
202404;Kota Adm. Jakarta Barat;30;39777;Ikan Mas
202404;Kota Adm. Jakarta Barat;30;29731;Ikan Lele
202404;Kota Adm. Jakarta Barat;30;22066;Gas Elpiji 3kg
202404;Kota Adm. Jakarta Barat;30;28026;Susu Bubuk Bendera 400gr
202404;Kota Adm. Jakarta Barat;30;42608;Susu Bubuk Dancow 400gr
202404;Kota Adm. Jakarta Barat;30;13456;Susu Kental Bendera 200gr
202404;Kota Adm. Jakarta Barat;30;12213;Susu Kental Enak 200gr
202404;Kota Adm. Jakarta Barat;30;14947;Margarin Blueband Cup
202404;Kota Adm. Jakarta Barat;30;9779;Margarin Blueband Sachet
202404;Kota Adm. Jakarta Selatan;30;15415;Beras IR. I (IR 64)
202404;Kota Adm. Jakarta Selatan;30;14802;Beras IR. II (IR 64) Ramos
202404;Kota Adm. Jakarta Selatan;30;13884;Beras IR. III (IR 64)
202404;Kota Adm. Jakarta Selatan;30;17725;Beras Muncul .I
202404;Kota Adm. Jakarta Selatan;30;15959;Beras IR 42/Pera
202404;Kota Adm. Jakarta Selatan;30;15921;Beras Setra I/Premium
202404;Kota Adm. Jakarta Selatan;30;16863;Minyak Goreng (Kuning/Curah)
202404;Kota Adm. Jakarta Selatan;30;57315;Cabe Merah Keriting
202404;Kota Adm. Jakarta Selatan;30;73875;Cabe Merah Besar (TW)
202404;Kota Adm. Jakarta Selatan;30;56860;Cabe Rawit Merah
202404;Kota Adm. Jakarta Selatan;30;50112;Cabe Rawit Hijau
202404;Kota Adm. Jakarta Selatan;30;54261;Bawang Merah
202404;Kota Adm. Jakarta Selatan;30;47177;Bawang Putih
202404;Kota Adm. Jakarta Selatan;30;141214;Daging Sapi Has (Paha Belakang)
202404;Kota Adm. Jakarta Selatan;30;136283;Daging Sapi Murni (Semur)
202404;Kota Adm. Jakarta Selatan;30;43914;Ayam Broiler/Ras
202404;Kota Adm. Jakarta Selatan;30;29684;Telur Ayam Ras
202404;Kota Adm. Jakarta Selatan;30;16961;Gula Pasir
202404;Kota Adm. Jakarta Selatan;30;11339;Tepung Terigu
202404;Kota Adm. Jakarta Selatan;30;3823;Garam Dapur
202402;Jakarta Selatan;29;15999;Minyak Goreng (Kuning/Curah)
202402;Jakarta Selatan;29;79538;Cabe Merah Keriting
202402;Jakarta Selatan;29;93590;Cabe Merah Besar (TW)
202402;Jakarta Selatan;29;72225;Cabe Rawit Merah
202402;Jakarta Selatan;29;52473;Cabe Rawit Hijau
202402;Jakarta Selatan;29;37630;Bawang Merah
202402;Jakarta Selatan;29;41980;Bawang Putih
202402;Jakarta Selatan;29;138780;Daging Sapi Has (Paha Belakang)
202402;Jakarta Selatan;29;137034;Daging Sapi Murni (Semur)
202402;Jakarta Selatan;29;41105;Ayam Broiler/Ras
202402;Jakarta Selatan;29;28674;Telur Ayam Ras
202402;Jakarta Selatan;29;16497;Gula Pasir
202402;Jakarta Selatan;29;11032;Tepung Terigu
202402;Jakarta Selatan;29;3665;Garam Dapur
202402;Jakarta Selatan;29;19868;Kentang (sedang)
202402;Jakarta Selatan;29;24008;Tomat Buah
202402;Jakarta Selatan;29;9830;Kelapa Kupas
202402;Jakarta Selatan;29;12025;Semangka
202402;Jakarta Selatan;29;29768;Jeruk Medan
202402;Jakarta Selatan;29;149388;Daging Kambing
202402;Jakarta Selatan;29;140000;Daging Babi Berlemak
202402;Jakarta Selatan;29;40076;Ikan Bandeng (sedang)
202402;Jakarta Selatan;29;37465;Ikan Mas
202402;Jakarta Selatan;29;28408;Ikan Lele
202402;Jakarta Selatan;29;20000;Gas Elpiji 3kg
202402;Jakarta Selatan;29;0;Susu Bubuk Bendera 400gr
202402;Jakarta Selatan;29;46655;Susu Bubuk Dancow 400gr
202402;Jakarta Selatan;29;12808;Susu Kental Bendera 200gr
202402;Jakarta Selatan;29;11345;Susu Kental Enak 200gr
202402;Jakarta Selatan;29;16109;Margarin Blueband Cup
202402;Jakarta Selatan;29;10802;Margarin Blueband Sachet
202402;Jakarta Timur;29;14252;Beras IR I (IR 64)
202402;Jakarta Timur;29;14078;Beras IR II (IR 64) Ramos
202402;Jakarta Timur;29;13863;Beras IR III (IR 64)
202402;Jakarta Timur;29;14641;Beras Muncul I
202402;Jakarta Timur;29;15291;Beras IR 42/Pera
202402;Jakarta Timur;29;14842;Beras Setra I/Premium
202402;Jakarta Timur;29;15793;Minyak Goreng (Kuning/Curah)
202402;Jakarta Timur;29;79109;Cabe Merah Keriting
202402;Jakarta Timur;29;93086;Cabe Merah Besar (TW)
202402;Jakarta Timur;29;70084;Cabe Rawit Merah
202402;Jakarta Timur;29;50583;Cabe Rawit Hijau
202402;Jakarta Timur;29;37057;Bawang Merah
202402;Jakarta Timur;29;42883;Bawang Putih
202402;Jakarta Timur;29;143277;Daging Sapi Has (Paha Belakang)
202402;Jakarta Timur;29;136448;Daging Sapi Murni (Semur)
202402;Jakarta Timur;29;39455;Ayam Broiler/Ras
202402;Jakarta Timur;29;28264;Telur Ayam Ras
202402;Jakarta Timur;29;16378;Gula Pasir
202402;Jakarta Timur;29;10434;Tepung Terigu
202402;Jakarta Timur;29;3467;Garam Dapur
202402;Jakarta Timur;29;18366;Kentang (sedang)
202402;Jakarta Timur;29;20323;Tomat Buah
202402;Jakarta Timur;29;9599;Kelapa Kupas
202402;Jakarta Timur;29;10571;Semangka
202402;Jakarta Timur;29;26871;Jeruk Medan
202402;Jakarta Timur;29;146190;Daging Kambing
202402;Jakarta Timur;29;98030;Daging Babi Berlemak
202402;Jakarta Timur;29;41067;Ikan Bandeng (sedang)
202402;Jakarta Timur;29;36980;Ikan Mas
202402;Jakarta Timur;29;27400;Ikan Lele
202402;Jakarta Timur;29;20683;Gas Elpiji 3kg
202402;Jakarta Timur;29;45000;Susu Bubuk Bendera 400gr
202402;Jakarta Timur;29;45000;Susu Bubuk Dancow 400gr
202402;Jakarta Timur;29;11941;Susu Kental Bendera 200gr
202402;Jakarta Timur;29;10827;Susu Kental Enak 200gr
202402;Jakarta Timur;29;13336;Margarin Blueband Cup
202402;Jakarta Timur;29;9519;Margarin Blueband Sachet
202402;Jakarta Pusat;29;16100;Beras IR I (IR 64)
202402;Jakarta Pusat;29;15571;Beras IR II (IR 64) Ramos
202402;Jakarta Pusat;29;15096;Beras IR III (IR 64)
202402;Jakarta Pusat;29;15557;Beras Muncul I
202402;Jakarta Pusat;29;16589;Beras IR 42/Pera
202402;Jakarta Pusat;29;16643;Beras Setra I/Premium
202402;Jakarta Pusat;29;16036;Minyak Goreng (Kuning/Curah)
202402;Jakarta Pusat;29;75556;Cabe Merah Keriting
202402;Jakarta Pusat;29;96556;Cabe Merah Besar (TW)
202402;Jakarta Pusat;29;68571;Cabe Rawit Merah
202402;Jakarta Pusat;29;41286;Cabe Rawit Hijau
202402;Jakarta Pusat;29;35857;Bawang Merah
202402;Jakarta Pusat;29;37679;Bawang Putih
202402;Jakarta Pusat;29;140000;Daging Sapi Has (Paha Belakang)
202402;Jakarta Pusat;29;140000;Daging Sapi Murni (Semur)
202402;Jakarta Pusat;29;35000;Ayam Broiler/Ras
202402;Jakarta Pusat;29;28714;Telur Ayam Ras
202402;Jakarta Pusat;29;17000;Gula Pasir
202402;Jakarta Pusat;29;11000;Tepung Terigu
202402;Jakarta Pusat;29;5000;Garam Dapur
202402;Jakarta Pusat;29;19407;Kentang (sedang)
202402;Jakarta Pusat;29;24607;Tomat Buah
202402;Jakarta Pusat;29;10000;Kelapa Kupas
202402;Jakarta Pusat;29;10196;Semangka
202402;Jakarta Pusat;29;26161;Jeruk Medan
202402;Jakarta Pusat;29;149500;Daging Kambing
202402;Jakarta Pusat;29;130000;Daging Babi Berlemak
202402;Jakarta Pusat;29;45000;Ikan Bandeng (sedang)
202402;Jakarta Pusat;29;39889;Ikan Mas
202402;Jakarta Pusat;29;27929;Ikan Lele
202402;Jakarta Pusat;29;22000;Gas Elpiji 3kg
202402;Jakarta Pusat;29;50000;Susu Bubuk Bendera 400gr
