periode,wilayah,harga,komoditas
2024-04-30,Jakarta Barat,13456,Susu Kental Bendera 200gr
2024-04-30,Jakarta Barat,12213,Susu Kental Enak 200gr
2024-04-30,Jakarta Barat,14947,Margarin Blueband Cup
2024-04-30,Jakarta Barat,9779,Margarin Blueband Sachet
2024-04-30,Jakarta Selatan,15415,Beras IR I (IR 64)
2024-04-30,Jakarta Selatan,14802,Beras IR II (IR 64) Ramos
2024-04-30,Jakarta Selatan,13884,Beras IR III (IR 64)
2024-04-30,Jakarta Selatan,17725,Beras Muncul I
2024-04-30,Jakarta Selatan,15959,Beras IR 42/Pera
2024-04-30,Jakarta Selatan,15921,Beras Setra I/Premium
2024-04-30,Jakarta Selatan,16863,Minyak Goreng (Kuning/Curah)
2024-04-30,Jakarta Selatan,57315,Cabe Merah Keriting
2024-04-30,Jakarta Selatan,73875,Cabe Merah Besar (TW)
2024-04-30,Jakarta Selatan,56860,Cabe Rawit Merah
2024-04-30,Jakarta Selatan,50112,Cabe Rawit Hijau
2024-04-30,Jakarta Selatan,54261,Bawang Merah
2024-04-30,Jakarta Selatan,47177,Bawang Putih
2024-04-30,Jakarta Selatan,141214,Daging Sapi Has (Paha Belakang)
2024-04-30,Jakarta Selatan,136283,Daging Sapi Murni (Semur)
2024-04-30,Jakarta Selatan,43914,Ayam Broiler/Ras
2024-04-30,Jakarta Selatan,29684,Telur Ayam Ras
2024-04-30,Jakarta Selatan,16961,Gula Pasir
2024-04-30,Jakarta Selatan,11339,Tepung Terigu
2024-04-30,Jakarta Selatan,3823,Garam Dapur
2024-02-29,Jakarta Selatan,15999,Minyak Goreng (Kuning/Curah)
2024-02-29,Jakarta Selatan,79538,Cabe Merah Keriting
2024-02-29,Jakarta Selatan,93590,Cabe Merah Besar (TW)
2024-02-29,Jakarta Selatan,72225,Cabe Rawit Merah
2024-02-29,Jakarta Selatan,52473,Cabe Rawit Hijau
2024-02-29,Jakarta Selatan,37630,Bawang Merah
2024-02-29,Jakarta Selatan,41980,Bawang Putih
2024-02-29,Jakarta Selatan,138780,Daging Sapi Has (Paha Belakang)
2024-02-29,Jakarta Selatan,137034,Daging Sapi Murni (Semur)
2024-02-29,Jakarta Selatan,41105,Ayam Broiler/Ras
2024-02-29,Jakarta Selatan,28674,Telur Ayam Ras
2024-02-29,Jakarta Selatan,16497,Gula Pasir
2024-02-29,Jakarta Selatan,11032,Tepung Terigu
2024-02-29,Jakarta Selatan,3665,Garam Dapur
2024-02-29,Jakarta Selatan,19868,Kentang (sedang)
2024-02-29,Jakarta Selatan,24008,Tomat Buah
2024-02-29,Jakarta Selatan,9830,Kelapa Kupas
2024-02-29,Jakarta Selatan,12025,Semangka
2024-02-29,Jakarta Selatan,29768,Jeruk Medan
2024-02-29,Jakarta Selatan,149388,Daging Kambing
2024-02-29,Jakarta Selatan,140000,Daging Babi Berlemak
2024-02-29,Jakarta Selatan,40076,Ikan Bandeng (sedang)
2024-02-29,Jakarta Selatan,37465,Ikan Mas
2024-02-29,Jakarta Selatan,28408,Ikan Lele
2024-02-29,Jakarta Selatan,20000,Gas Elpiji 3kg
2024-02-29,Jakarta Selatan,0,Susu Bubuk Bendera 400gr
2024-02-29,Jakarta Selatan,46655,Susu Bubuk Dancow 400gr
2024-02-29,Jakarta Selatan,12808,Susu Kental Bendera 200gr
2024-02-29,Jakarta Selatan,11345,Susu Kental Enak 200gr
2024-02-29,Jakarta Selatan,16109,Margarin Blueband Cup
2024-02-29,Jakarta Selatan,10802,Margarin Blueband Sachet
2024-02-29,Jakarta Timur,14252,Beras IR I (IR 64)
2024-02-29,Jakarta Timur,14078,Beras IR II (IR 64) Ramos
2024-02-29,Jakarta Timur,13863,Beras IR III (IR 64)
2024-02-29,Jakarta Timur,14641,Beras Muncul I
2024-02-29,Jakarta Timur,15291,Beras IR 42/Pera
2024-02-29,Jakarta Timur,14842,Beras Setra I/Premium
2024-02-29,Jakarta Timur,15793,Minyak Goreng (Kuning/Curah)
2024-02-29,Jakarta Timur,79109,Cabe Merah Keriting
2024-02-29,Jakarta Timur,93086,Cabe Merah Besar (TW)
2024-02-29,Jakarta Timur,70084,Cabe Rawit Merah
2024-02-29,Jakarta Timur,50583,Cabe Rawit Hijau
2024-02-29,Jakarta Timur,37057,Bawang Merah
2024-02-29,Jakarta Timur,42883,Bawang Putih
2024-02-29,Jakarta Timur,143277,Daging Sapi Has (Paha Belakang)
2024-02-29,Jakarta Timur,136448,Daging Sapi Murni (Semur)
2024-02-29,Jakarta Timur,39455,Ayam Broiler/Ras
2024-02-29,Jakarta Timur,28264,Telur Ayam Ras
2024-02-29,Jakarta Timur,16378,Gula Pasir
2024-02-29,Jakarta Timur,10434,Tepung Terigu
2024-02-29,Jakarta Timur,3467,Garam Dapur
2024-02-29,Jakarta Timur,18366,Kentang (sedang)
2024-02-29,Jakarta Timur,20323,Tomat Buah
2024-02-29,Jakarta Timur,9599,Kelapa Kupas
2024-02-29,Jakarta Timur,10571,Semangka
2024-02-29,Jakarta Timur,26871,Jeruk Medan
2024-02-29,Jakarta Timur,146190,Daging Kambing
2024-02-29,Jakarta Timur,98030,Daging Babi Berlemak
2024-02-29,Jakarta Timur,41067,Ikan Bandeng (sedang)
2024-02-29,Jakarta Timur,36980,Ikan Mas
2024-02-29,Jakarta Timur,27400,Ikan Lele
2024-02-29,Jakarta Timur,20683,Gas Elpiji 3kg
2024-02-29,Jakarta Timur,45000,Susu Bubuk Bendera 400gr
2024-02-29,Jakarta Timur,45000,Susu Bubuk Dancow 400gr
2024-02-29,Jakarta Timur,11941,Susu Kental Bendera 200gr
2024-02-29,Jakarta Timur,10827,Susu Kental Enak 200gr
2024-02-29,Jakarta Timur,13336,Margarin Blueband Cup
2024-02-29,Jakarta Timur,9519,Margarin Blueband Sachet
2024-02-29,Jakarta Pusat,16100,Beras IR I (IR 64)
2024-02-29,Jakarta Pusat,15571,Beras IR II (IR 64) Ramos
2024-02-29,Jakarta Pusat,15096,Beras IR III (IR 64)
2024-02-29,Jakarta Pusat,15557,Beras Muncul I
2024-02-29,Jakarta Pusat,16589,Beras IR 42/Pera
2024-02-29,Jakarta Pusat,16643,Beras Setra I/Premium
2024-02-29,Jakarta Pusat,16036,Minyak Goreng (Kuning/Curah)
2024-02-29,Jakarta Pusat,75556,Cabe Merah Keriting
2024-02-29,Jakarta Pusat,96556,Cabe Merah Besar (TW)
2024-02-29,Jakarta Pusat,68571,Cabe Rawit Merah
2024-02-29,Jakarta Pusat,41286,Cabe Rawit Hijau
2024-02-29,Jakarta Pusat,35857,Bawang Merah
2024-02-29,Jakarta Pusat,37679,Bawang Putih
2024-02-29,Jakarta Pusat,140000,Daging Sapi Has (Paha Belakang)
2024-02-29,Jakarta Pusat,140000,Daging Sapi Murni (Semur)
2024-02-29,Jakarta Pusat,35000,Ayam Broiler/Ras
2024-02-29,Jakarta Pusat,28714,Telur Ayam Ras
2024-02-29,Jakarta Pusat,17000,Gula Pasir
2024-02-29,Jakarta Pusat,11000,Tepung Terigu
2024-02-29,Jakarta Pusat,5000,Garam Dapur
2024-02-29,Jakarta Pusat,19407,Kentang (sedang)
2024-02-29,Jakarta Pusat,24607,Tomat Buah
2024-02-29,Jakarta Pusat,10000,Kelapa Kupas
2024-02-29,Jakarta Pusat,10196,Semangka
2024-02-29,Jakarta Pusat,26161,Jeruk Medan
2024-02-29,Jakarta Pusat,149500,Daging Kambing
2024-02-29,Jakarta Pusat,130000,Daging Babi Berlemak
2024-02-29,Jakarta Pusat,45000,Ikan Bandeng (sedang)
2024-02-29,Jakarta Pusat,39889,Ikan Mas
2024-02-29,Jakarta Pusat,27929,Ikan Lele
2024-02-29,Jakarta Pusat,22000,Gas Elpiji 3kg
2024-02-29,Jakarta Pusat,50000,Susu Bubuk Bendera 400gr
2024-02-29,Jakarta Pusat,50000,Susu Bubuk Dancow 400gr
2024-02-29,Jakarta Pusat,14607,Susu Kental Bendera 200gr
2024-02-29,Jakarta Pusat,12304,Susu Kental Enak 200gr
2024-02-29,Jakarta Pusat,15589,Margarin Blueband Cup
2024-02-29,Jakarta Pusat,11036,Margarin Blueband Sachet
2024-02-29,Jakarta Utara,15471,Beras IR I (IR 64)
2024-02-29,Jakarta Utara,14640,Beras IR II (IR 64) Ramos
2024-02-29,Jakarta Utara,13976,Beras IR III (IR 64)
2024-02-29,Jakarta Utara,15960,Beras Muncul I
2024-02-29,Jakarta Utara,16634,Beras IR 42/Pera
2024-02-29,Jakarta Utara,15443,Beras Setra I/Premium
2024-02-29,Jakarta Utara,15526,Minyak Goreng (Kuning/Curah)
2024-02-29,Jakarta Utara,78644,Cabe Merah Keriting
2024-02-29,Jakarta Utara,88501,Cabe Merah Besar (TW)
2024-02-29,Jakarta Utara,75428,Cabe Rawit Merah
2024-02-29,Jakarta Utara,54148,Cabe Rawit Hijau
2024-02-29,Jakarta Utara,41162,Bawang Merah
2024-02-29,Jakarta Utara,42758,Bawang Putih
2024-02-29,Jakarta Utara,145899,Daging Sapi Has (Paha Belakang)
2024-02-29,Jakarta Utara,144203,Daging Sapi Murni (Semur)
2024-02-29,Jakarta Utara,42246,Ayam Broiler/Ras
2024-02-29,Jakarta Utara,28477,Telur Ayam Ras
2024-02-29,Jakarta Utara,16138,Gula Pasir
2024-02-29,Jakarta Utara,11613,Tepung Terigu
2024-02-29,Jakarta Utara,4045,Garam Dapur
2024-02-29,Jakarta Utara,21090,Kentang (sedang)
2024-02-29,Jakarta Utara,23084,Tomat Buah
2024-02-29,Jakarta Utara,10229,Kelapa Kupas
2024-02-29,Jakarta Utara,12842,Semangka
2024-02-29,Jakarta Utara,34482,Jeruk Medan
2024-02-29,Jakarta Utara,140625,Daging Kambing
2024-02-29,Jakarta Utara,109348,Daging Babi Berlemak
2024-02-29,Jakarta Utara,40089,Ikan Bandeng (sedang)
2024-02-29,Jakarta Utara,36651,Ikan Mas
2024-02-29,Jakarta Utara,27767,Ikan Lele
2024-02-29,Jakarta Utara,20786,Gas Elpiji 3kg
2024-02-29,Jakarta Utara,43000,Susu Bubuk Bendera 400gr
2024-02-29,Jakarta Utara,51554,Susu Bubuk Dancow 400gr
2024-02-29,Jakarta Utara,14776,Susu Kental Bendera 200gr
2024-02-29,Jakarta Utara,11380,Susu Kental Enak 200gr
2024-02-29,Jakarta Utara,17346,Margarin Blueband Cup
2024-02-29,Jakarta Utara,11658,Margarin Blueband Sachet
2024-02-29,Jakarta Barat,16100,Beras IR I (IR 64)
2024-02-29,Jakarta Barat,15571,Beras IR II (IR 64) Ramos
2024-02-29,Jakarta Barat,15096,Beras IR III (IR 64)
2024-02-29,Jakarta Barat,15557,Beras Muncul I
2024-02-29,Jakarta Barat,16589,Beras IR 42/Pera
2024-02-29,Jakarta Barat,16643,Beras Setra I/Premium
2024-02-29,Jakarta Barat,16036,Minyak Goreng (Kuning/Curah)
2024-02-29,Jakarta Barat,75556,Cabe Merah Keriting
2024-02-29,Jakarta Barat,96556,Cabe Merah Besar (TW)
2024-02-29,Jakarta Barat,68571,Cabe Rawit Merah
2024-02-29,Jakarta Barat,41286,Cabe Rawit Hijau
2024-02-29,Jakarta Barat,35857,Bawang Merah
2024-02-29,Jakarta Barat,37679,Bawang Putih
2024-02-29,Jakarta Barat,140000,Daging Sapi Has (Paha Belakang)
2024-02-29,Jakarta Barat,140000,Daging Sapi Murni (Semur)
2024-02-29,Jakarta Barat,35000,Ayam Broiler/Ras
2024-02-29,Jakarta Barat,28714,Telur Ayam Ras
2024-02-29,Jakarta Barat,17000,Gula Pasir
2024-02-29,Jakarta Barat,11000,Tepung Terigu
2024-02-29,Jakarta Barat,5000,Garam Dapur
2024-02-29,Jakarta Barat,19407,Kentang (sedang)
2024-02-29,Jakarta Barat,24607,Tomat Buah
2024-02-29,Jakarta Barat,10000,Kelapa Kupas
2024-02-29,Jakarta Barat,10196,Semangka
2024-02-29,Jakarta Barat,26161,Jeruk Medan
2024-02-29,Jakarta Barat,149500,Daging Kambing
2024-02-29,Jakarta Barat,130000,Daging Babi Berlemak
2024-02-29,Jakarta Barat,45000,Ikan Bandeng (sedang)
2024-02-29,Jakarta Barat,39889,Ikan Mas
2024-02-29,Jakarta Barat,27929,Ikan Lele
2024-02-29,Jakarta Barat,22000,Gas Elpiji 3kg
2024-02-29,Jakarta Barat,50000,Susu Bubuk Bendera 400gr
2024-02-29,Jakarta Barat,50000,Susu Bubuk Dancow 400gr
2024-02-29,Jakarta Barat,14607,Susu Kental Bendera 200gr
2024-02-29,Jakarta Barat,12304,Susu Kental Enak 200gr
2024-02-29,Jakarta Barat,15589,Margarin Blueband Cup
2024-02-29,Jakarta Barat,11036,Margarin Blueband Sachet
2024-02-29,Jakarta Selatan,14417,Beras IR I (IR 64)
2024-02-29,Jakarta Selatan,13752,Beras IR II (IR 64) Ramos
2024-02-29,Jakarta Selatan,13310,Beras IR III (IR 64)
2024-02-29,Jakarta Selatan,15843,Beras Muncul I
2024-02-29,Jakarta Selatan,15459,Beras IR 42/Pera
2024-02-29,Jakarta Selatan,14760,Beras Setra I/Premium
2024-03-31,Jakarta Pusat,13700,Minyak Goreng (Kuning/Curah)
2024-03-31,Jakarta Pusat,17700,Kentang (sedang)
2024-03-31,Jakarta Pusat,7400,Kelapa Kupas
2024-03-31,Jakarta Utara,48710,Cabe Rawit Hijau
2024-03-31,Jakarta Selatan,14000,Daging Babi Berlemak
2024-03-31,Jakarta Selatan,4000,Gas Elpiji 3kg
2024-01-31,Jakarta Selatan,15818,Minyak Goreng (Kuning/Curah)
2024-01-31,Jakarta Selatan,75058,Cabe Merah Keriting
2024-01-31,Jakarta Selatan,81865,Cabe Merah Besar (TW)
2024-01-31,Jakarta Selatan,73087,Cabe Rawit Merah
2024-01-31,Jakarta Selatan,51386,Cabe Rawit Hijau
2024-01-31,Jakarta Selatan,38928,Bawang Merah
2024-01-31,Jakarta Selatan,41475,Bawang Putih
2024-01-31,Jakarta Selatan,139364,Daging Sapi Has (Paha Belakang)
2024-01-31,Jakarta Selatan,136970,Daging Sapi Murni (Semur)
2024-01-31,Jakarta Selatan,40881,Ayam Broiler/Ras
2024-01-31,Jakarta Selatan,27407,Telur Ayam Ras
2024-01-31,Jakarta Selatan,16505,Gula Pasir
2024-01-31,Jakarta Selatan,11035,Tepung Terigu
2024-01-31,Jakarta Selatan,3612,Garam Dapur
2024-01-31,Jakarta Selatan,19205,Kentang (sedang)
2024-01-31,Jakarta Selatan,23268,Tomat Buah
2024-01-31,Jakarta Selatan,9836,Kelapa Kupas
2024-01-31,Jakarta Selatan,11789,Semangka
2024-01-31,Jakarta Selatan,30677,Jeruk Medan
2024-01-31,Jakarta Selatan,150373,Daging Kambing
2024-01-31,Jakarta Selatan,140000,Daging Babi Berlemak
2024-01-31,Jakarta Selatan,41095,Ikan Bandeng (sedang)
2024-01-31,Jakarta Selatan,38543,Ikan Mas
2024-01-31,Jakarta Selatan,29021,Ikan Lele
2024-01-31,Jakarta Selatan,20000,Gas Elpiji 3kg
2024-01-31,Jakarta Selatan,0,Susu Bubuk Bendera 400gr
2024-01-31,Jakarta Selatan,45737,Susu Bubuk Dancow 400gr
2024-01-31,Jakarta Selatan,12777,Susu Kental Bendera 200gr
2024-01-31,Jakarta Selatan,11363,Susu Kental Enak 200gr
2024-01-31,Jakarta Selatan,16358,Margarin Blueband Cup
2024-01-31,Jakarta Selatan,10817,Margarin Blueband Sachet
2024-01-31,Jakarta Timur,13570,Beras IR I (IR 64)
2024-01-31,Jakarta Timur,13245,Beras IR II (IR 64) Ramos
2024-01-31,Jakarta Timur,13005,Beras IR III (IR 64)
2024-01-31,Jakarta Timur,13695,Beras Muncul I
2024-01-31,Jakarta Timur,14908,Beras IR 42/Pera
2024-01-31,Jakarta Timur,13949,Beras Setra I/Premium
2024-01-31,Jakarta Timur,15741,Minyak Goreng (Kuning/Curah)
2024-01-31,Jakarta Timur,70670,Cabe Merah Keriting
2024-01-31,Jakarta Timur,79469,Cabe Merah Besar (TW)
2024-01-31,Jakarta Timur,72112,Cabe Rawit Merah
2024-01-31,Jakarta Timur,45445,Cabe Rawit Hijau
2024-01-31,Jakarta Timur,37180,Bawang Merah
2024-01-31,Jakarta Timur,42098,Bawang Putih
2024-01-31,Jakarta Timur,144310,Daging Sapi Has (Paha Belakang)
2024-01-31,Jakarta Timur,137676,Daging Sapi Murni (Semur)
2024-01-31,Jakarta Timur,39084,Ayam Broiler/Ras
2024-01-31,Jakarta Timur,27003,Telur Ayam Ras
